time,latitude,longitude,mag
2013-03-01T23:11:11.550Z,40.6288333,-123.5051667,2.96
2013-03-01T21:55:27.580Z,35.8298333,-116.7996667,4.14
2013-03-01T16:53:27.150Z,33.703,-87.294,2.7
2013-03-01T13:25:03.150Z,32.689,-115.8256667,2.6
2013-03-01T12:44:08.230Z,32.6885,-115.8253333,3.13
2013-03-01T10:56:24.690Z,38.8225,-122.8066667,2.89
2013-03-01T07:50:23.260Z,42.565,-110.973,3.9
2013-02-28T21:08:19.460Z,43.815,-105.345,3.1
2013-02-28T20:48:23.780Z,38.1295,-118.2589,3.6
2013-02-28T19:10:10.500Z,43.702,-105.858,2.9
2013-02-28T15:39:56.072Z,37.1555,-114.7981,2.6
2013-02-28T15:29:25.891Z,38.0237,-118.0646,4
2013-02-28T15:06:31.100Z,38.8203333,-122.804,2.52
2013-02-28T14:58:26.490Z,38.5658333,-119.5085,2.89
2013-02-28T14:15:20.500Z,34.161,-107.021,3
2013-02-27T19:51:12.760Z,35.46,-97.335,3.5
2013-02-27T19:23:40.980Z,41.723,-110.635,2.6
2013-02-27T12:30:08.800Z,35.476,-97.234,2.5
2013-02-26T20:18:49.950Z,34.0201667,-117.2205,3.56
2013-02-26T05:05:17.170Z,37.1595,-118.6471667,2.61
2013-02-25T22:53:04.200Z,31.215,-115.917,4.2
2013-02-25T22:42:54.000Z,48.38,-111.3,2.5
2013-02-24T21:07:49.700Z,32.462,-96.872,2.7
2013-02-24T14:13:21.161Z,38.0297,-118.0623,3.5
2013-02-24T12:56:02.980Z,32.526,-96.91,2.6
2013-02-24T10:35:52.230Z,32.462,-96.912,2.5
2013-02-24T09:55:54.870Z,37.5608333,-121.9528333,2.89
2013-02-24T05:52:40.150Z,35.6258333,-90.5526667,2.5
2013-02-23T22:28:38.560Z,35.6256667,-90.56,3.7
2013-02-23T20:06:13.990Z,43.569,-105.142,3.2
2013-02-23T04:40:14.560Z,32.132,-117.6893333,3.96
2013-02-22T15:57:43.230Z,40.3755,-124.8938333,2.76
2013-02-22T01:52:04.230Z,40.2966667,-124.5038333,2.85
2013-02-22T00:55:50.850Z,37.1478333,-121.5413333,3.15
2013-02-21T22:33:54.798Z,41.2169,-117.4837,3.5
2013-02-21T20:57:39.910Z,33.2318333,-116.0563333,3.63
2013-02-20T23:28:22.650Z,35.8328333,-90.1448333,2.6
2013-02-20T02:03:03.720Z,31.2266667,-115.9478333,2.93
2013-02-19T16:08:55.090Z,43.762,-105.246,2.6
2013-02-19T13:43:07.720Z,37.862,-121.7821667,2.68
2013-02-19T10:20:36.080Z,40.3736667,-124.3013333,2.68
2013-02-19T09:55:26.840Z,34.6271667,-116.6216667,2.82
2013-02-19T08:18:05.630Z,40.793,-124.7548333,2.57
2013-02-19T04:59:44.000Z,48.425,-83.298,4.1
2013-02-18T18:13:25.044Z,37.9106,-114.4116,2.7
2013-02-18T11:09:08.200Z,38.513,-122.6241667,2.57
2013-02-18T04:56:29.720Z,38.912,-107.435,2.6
2013-02-18T02:54:06.720Z,35.448,-97.259,2.6
2013-02-17T21:05:04.790Z,43.815,-105.236,3.5
2013-02-17T18:59:29.330Z,43.766,-105.29,3.1
2013-02-17T17:04:53.140Z,33.0141667,-116.311,3.36
2013-02-17T04:12:55.710Z,42.018,-82.224,2.5
2013-02-17T00:42:23.070Z,37.74,-122.1556667,2.58
2013-02-16T21:57:45.280Z,33.42,-109.237,3.3
2013-02-16T20:42:09.499Z,39.2891,-114.9035,2.5
