time,latitude,longitude,mag
2018-03-01T23:15:43.100Z,36.4565,-98.8213,2.6
2018-03-01T20:26:59.230Z,38.042,-97.9875,3.1
2018-03-01T18:52:26.350Z,45.7608,-106.7424,2.7
2018-03-01T10:00:17.900Z,36.679,-121.2756667,3.39
2018-03-01T05:25:37.180Z,35.1413333,-117.0928333,2.83
2018-03-01T05:10:47.800Z,35.6888,-97.3051,3.7
2018-03-01T02:56:53.010Z,37.8276667,-121.9786667,2.53
2018-03-01T02:21:31.070Z,36.5541667,-120.5825,2.98
2018-03-01T00:05:12.690Z,45.1398,-106.9942,2.8
2018-02-28T20:14:23.630Z,43.5988,-105.244,3.3
2018-02-28T18:27:58.362Z,37.4486,-115.0942,2.5
2018-02-28T15:43:10.950Z,32.9015,-115.5173333,2.55
2018-02-28T15:41:18.660Z,32.9076667,-115.5155,2.77
2018-02-28T15:34:34.190Z,33.7348333,-116.8663333,2.73
2018-02-28T14:11:47.490Z,37.6701667,-112.5306667,3.64
2018-02-28T06:04:21.900Z,36.457,-98.8077,2.8
2018-02-27T20:31:33.220Z,40.5775,-124.5245,2.81
2018-02-27T06:53:47.940Z,30.7243,-109.2485,3.4
2018-02-26T18:44:41.990Z,33.4825,-116.5036667,3.66
2018-02-26T15:44:37.280Z,38.795,-122.7835,2.82
2018-02-26T14:39:54.770Z,36.8705,-121.6023333,2.84
2018-02-26T08:19:26.020Z,33.557,-115.886,2.6
2018-02-26T07:46:25.700Z,36.2086,-97.4246,3
2018-02-26T07:08:51.400Z,31.1306,-103.4341,2.7
2018-02-26T04:44:54.500Z,26.1169,-92.1408,4.3
2018-02-26T00:03:38.630Z,42.5974,-111.4645,2.5
2018-02-25T15:10:21.400Z,44.7535,-110.9953333,3.04
2018-02-25T08:04:52.200Z,36.7557,-97.5248,3
2018-02-25T06:51:17.660Z,37.2387,-104.821,3.5
2018-02-25T06:16:06.340Z,38.8015,-122.7778333,2.67
2018-02-24T21:06:51.300Z,36.4519,-98.771,3.3
2018-02-24T21:02:19.160Z,37.338,-117.907,3.51
2018-02-24T18:10:40.500Z,36.8718,-97.4439,2.6
2018-02-24T12:58:36.100Z,36.9128,-97.6486,2.6
2018-02-24T11:55:45.300Z,36.913,-97.6509,3.6
2018-02-24T08:48:30.570Z,38.6303333,-119.8345,2.5
2018-02-24T02:39:20.940Z,36.2278333,-117.4021667,2.77
2018-02-23T22:38:51.260Z,43.746,-105.3253,2.5
2018-02-23T20:21:59.300Z,37.8291667,-121.9793333,2.8
2018-02-23T20:19:39.660Z,37.8263333,-121.9845,3.51
2018-02-23T20:19:24.790Z,37.8285,-121.9818333,3.39
2018-02-23T17:41:19.770Z,43.6376,-105.3466,2.8
2018-02-23T14:58:35.900Z,36.8706,-98.3444,2.6
2018-02-23T13:28:40.520Z,37.8256667,-121.9793333,3.31
2018-02-23T11:24:57.300Z,37.8315,-121.979,2.81
2018-02-23T10:32:10.710Z,37.8323333,-121.9796667,2.6
2018-02-23T08:27:27.550Z,32.2236667,-116.4423333,2.51
2018-02-23T06:54:29.701Z,38.0274,-115.2493,3.2
2018-02-23T06:36:09.850Z,36.5018333,-90.8501667,2.72
2018-02-23T05:24:50.740Z,44.749,-110.9938333,2.73
2018-02-23T02:52:05.740Z,46.895,-112.5255,2.52
2018-02-22T22:26:42.570Z,44.7481667,-110.9931667,2.62
2018-02-22T21:59:55.920Z,43.7376,-105.2857,2.8
2018-02-22T21:17:22.890Z,44.7505,-110.9951667,2.65
2018-02-22T21:10:51.510Z,44.9999,-106.8641,2.5
2018-02-22T10:18:38.560Z,46.8865,-112.522,2.9
2018-02-22T10:17:38.010Z,32.916,-100.871,2.9
2018-02-22T09:54:50.400Z,36.2298,-97.3408,3.1
2018-02-22T08:49:42.700Z,42.5848,-111.4597,2.9
2018-02-22T08:49:07.830Z,44.7508333,-110.9935,2.61
2018-02-22T08:04:14.830Z,38.8411667,-122.831,2.69
2018-02-21T22:24:30.160Z,36.2852,-97.5187,2.7
2018-02-21T21:06:34.720Z,43.7443,-105.352,3.3
2018-02-21T20:59:10.690Z,39.3441667,-120.0271667,2.85
2018-02-21T18:00:01.530Z,47.4254,-93.0725,3
2018-02-21T10:10:15.490Z,37.3635,-119.9476667,2.93
2018-02-21T02:16:39.870Z,37.8436667,-121.9853333,2.75
2018-02-21T00:38:16.530Z,44.734,-111.0111667,2.68
2018-02-21T00:18:36.900Z,36.1239,-97.8153,3.4
2018-02-20T19:49:43.600Z,35.67,-97.3964,2.8
2018-02-20T19:00:27.650Z,43.7644,-105.3949,3.3
2018-02-20T18:45:15.600Z,44.735,-111.008,2.54
2018-02-20T12:26:03.100Z,37.8468333,-121.981,2.82
2018-02-20T12:25:43.500Z,37.8435,-121.9733333,2.63
2018-02-20T12:25:13.850Z,37.8363333,-121.9781667,2.53
2018-02-20T10:23:44.530Z,31.796,-116.0973333,2.72
2018-02-20T10:22:30.000Z,31.7986667,-116.1098333,3.56
2018-02-20T09:32:03.860Z,37.8468333,-121.9785,2.83
2018-02-20T08:53:34.900Z,35.6684,-97.3941,2.5
2018-02-20T08:45:29.800Z,35.6688,-97.3929,2.6
2018-02-20T07:58:53.080Z,31.4691667,-115.6555,2.7
2018-02-20T07:34:34.720Z,33.477,-116.4676667,2.84
2018-02-20T01:03:02.930Z,38.8915,-122.9735,2.55
2018-02-19T23:40:30.180Z,33.477,-116.465,2.81
2018-02-19T22:04:32.860Z,28.9711,-97.9398,3
2018-02-19T21:52:27.640Z,40.469,-121.5363333,2.87
2018-02-19T21:10:15.920Z,40.4653333,-121.5376667,2.81
2018-02-19T16:28:01.600Z,36.8643,-98.8148,2.6
2018-02-19T13:52:18.950Z,43.6092,-105.9073,2.8
2018-02-19T08:49:20.480Z,37.845,-121.9801667,2.98
2018-02-19T02:12:59.160Z,44.7401667,-110.9985,2.52
2018-02-19T00:53:24.090Z,36.0033333,-120.5645,2.6
2018-02-18T21:41:53.555Z,38.967,-116.1068,2.7
2018-02-18T19:48:10.800Z,35.3186,-97.9549,2.9
2018-02-18T17:43:06.530Z,44.7426667,-110.9826667,2.82
2018-02-18T17:34:17.760Z,44.7501667,-110.9815,2.76
2018-02-18T15:46:31.780Z,44.7401667,-110.9931667,2.51
2018-02-18T15:29:16.260Z,44.7446667,-110.9973333,3.12
2018-02-18T15:23:53.880Z,44.744,-110.9933333,2.66
2018-02-18T15:17:17.100Z,44.7446667,-110.9926667,2.93
2018-02-18T14:17:07.210Z,44.7415,-110.9895,2.7
2018-02-18T13:49:55.090Z,44.7455,-110.9848333,2.91
2018-02-18T09:16:46.780Z,44.7383333,-110.9853333,2.6
2018-02-18T08:07:28.110Z,36.4646667,-121.0413333,2.56
2018-02-18T06:10:15.300Z,44.7381667,-110.9878333,2.69
2018-02-18T05:55:30.780Z,44.7315,-110.9783333,2.6
2018-02-18T05:53:02.480Z,44.7443333,-110.9946667,2.89
2018-02-18T05:49:44.640Z,32.5213333,-115.266,2.73
2018-02-18T05:37:46.530Z,44.746,-110.9903333,3.11
2018-02-18T05:32:53.480Z,44.7343333,-110.9841667,2.54
2018-02-18T05:30:59.010Z,44.7406667,-110.9856667,2.57
2018-02-18T04:47:55.510Z,44.7403333,-110.9815,2.6
2018-02-18T04:44:48.600Z,35.7914,-98.5748,3.2
2018-02-18T04:28:28.670Z,44.7426667,-110.9865,2.73
2018-02-17T23:33:11.640Z,43.7838,-105.3537,2.8
2018-02-17T21:59:03.500Z,36.0369,-97.8991,2.6
2018-02-17T21:19:15.390Z,40.4696667,-121.5193333,2.59
2018-02-17T19:08:06.870Z,34.0383333,-117.2321667,2.65
2018-02-17T17:56:03.300Z,36.0384,-97.9011,2.5
2018-02-17T17:48:40.010Z,44.7433333,-111.0001667,2.66
2018-02-17T17:25:36.800Z,36.7011,-97.6752,2.6
2018-02-17T17:22:18.110Z,43.6425,-105.3211,3.2
2018-02-17T14:45:36.697Z,38.3545,-118.3169,2.8
2018-02-17T12:16:05.690Z,33.4118333,-116.4238333,2.71
2018-02-17T10:16:56.970Z,34.0861667,-118.2561667,2.91
2018-02-17T09:41:33.700Z,35.7117,-98.7727,2.8
2018-02-17T05:45:23.500Z,35.9871,-97.8019,2.7
