time,latitude,longitude,mag
1998-02-11T03:01:07.290Z,36.3741667,-120.3108333,2.88
1998-02-11T00:14:18.140Z,39.0405,-123.0833333,3.03
1998-02-10T21:05:47.630Z,33.075,-114.959,2.69
1998-02-10T07:18:41.210Z,37.9821667,-112.518,2.53
1998-02-10T01:32:12.840Z,48.0895,-121.9233333,2.5
1998-02-09T13:19:03.490Z,31.841,-115.696,3.77
1998-02-09T04:03:20.510Z,38.8,-122.8126667,2.58
1998-02-08T18:50:48.920Z,37.9655,-122.0403333,2.56
1998-02-08T16:00:02.370Z,34.953,-116.784,2.86
1998-02-07T21:30:48.410Z,37.1195,-121.4128333,2.56
1998-02-07T19:39:00.700Z,37.6363333,-118.9328333,3.58
1998-02-07T18:53:41.790Z,32.435,-115.102,2.55
1998-02-07T09:34:58.000Z,33.79,-116.974,3.1
1998-02-07T00:58:15.730Z,31.602,-115.587,2.54
1998-02-06T22:41:35.150Z,44.183,-105.243,3.1
1998-02-06T18:39:25.370Z,40.3075,-124.4216667,2.64
1998-02-06T17:17:21.080Z,38.7806667,-122.7233333,2.68
1998-02-06T15:56:34.400Z,38.3056667,-119.2986667,2.96
1998-02-06T15:53:48.670Z,29.055,-113.148,4.6
1998-02-06T13:11:16.010Z,37.9661667,-112.5315,2.56
1998-02-06T08:07:40.260Z,37.6275,-118.8608333,2.64
1998-02-06T05:23:52.190Z,32.11,-116.444,2.54
1998-02-06T02:49:34.800Z,37.5421667,-118.8675,2.51
1998-02-06T00:31:15.660Z,40.2993333,-124.419,3.05
1998-02-05T22:24:17.870Z,37.6406667,-118.9821667,2.94
1998-02-05T20:08:52.870Z,33.073,-114.901,2.62
1998-02-05T17:32:38.100Z,45.3206667,-121.728,2.5
1998-02-05T09:06:08.560Z,32.859,-115.66,2.56
1998-02-05T05:59:52.490Z,45.3103333,-121.7208333,2.6
1998-02-05T05:19:56.290Z,39.7545,-110.8466667,3.75
1998-02-04T23:51:35.810Z,37.9826667,-112.514,3.12
1998-02-04T21:19:18.780Z,33.081,-114.947,2.8
1998-02-04T19:35:41.980Z,37.9698333,-112.5145,3.08
1998-02-04T10:38:51.980Z,32.452,-115.237,2.56
1998-02-04T02:50:15.580Z,38.8375,-122.8816667,2.93
1998-02-04T02:16:15.610Z,38.7831667,-122.781,3.15
1998-02-03T23:45:13.550Z,45.8138333,-120.1921667,3.1
1998-02-03T19:58:37.920Z,37.9751667,-112.5228333,2.55
1998-02-03T16:45:34.160Z,34.111,-116.914,3.47
1998-02-03T12:44:17.100Z,37.9873333,-112.5073333,3.28
1998-02-03T11:05:32.840Z,38.808,-122.7686667,3.39
1998-02-03T04:20:16.500Z,38.8866667,-123.2188333,2.53
1998-02-02T21:59:56.650Z,46.7315,-122.8206667,2.8
1998-02-02T21:10:57.170Z,38.7998333,-122.7688333,3.26
1998-02-02T18:21:09.190Z,36.965,-117.927,2.58
1998-02-02T17:10:40.060Z,38.952,-111.347,2.53
1998-02-02T00:49:06.130Z,37.9866667,-112.5175,3.48
1998-02-02T00:45:05.960Z,37.9676667,-112.5238333,2.58
1998-02-01T21:29:04.720Z,37.9808333,-112.5196667,3.49
1998-02-01T16:20:08.470Z,37.301,-114.918,2.9
1998-02-01T14:19:07.160Z,37.9768333,-112.5053333,3.19
1998-02-01T08:53:16.550Z,37.9833333,-112.5088333,3.02
1998-02-01T02:46:10.080Z,40.3496667,-122.0388333,2.73
1998-02-01T02:16:57.100Z,37.97,-112.5175,3.2
1998-02-01T02:09:22.130Z,37.9875,-112.5136667,3.22
1998-01-31T18:32:15.340Z,37.976,-112.5313333,2.67
1998-01-31T18:31:59.980Z,32.232,-115.153,2.56
1998-01-31T14:44:11.530Z,31.883,-115.602,2.72
1998-01-31T09:22:53.710Z,38.5411667,-112.455,2.51
1998-01-31T08:03:51.290Z,37.983,-112.5378333,2.6
1998-01-30T23:35:09.170Z,37.98,-112.5225,2.61
1998-01-30T22:48:01.740Z,34.7591667,-121.1075,2.54
1998-01-30T22:35:32.010Z,37.0886667,-121.3966667,2.7
1998-01-30T21:53:15.240Z,37.9845,-112.5168333,3.95
1998-01-30T17:28:43.620Z,40.3451667,-124.8323333,3.58
1998-01-30T12:29:54.380Z,37.6318333,-118.8131667,2.73
1998-01-30T11:25:31.380Z,34.304,-118.476,3.01
1998-01-30T04:00:07.780Z,40.3123333,-124.489,2.56
1998-01-30T01:49:07.230Z,38.9518333,-111.347,2.65
1998-01-30T00:41:09.920Z,32.099,-118.774,2.67
1998-01-29T20:19:52.510Z,35.342,-118.526,2.9
1998-01-29T12:05:18.650Z,37.6285,-118.8643333,2.5
1998-01-29T07:59:54.140Z,37.6476667,-118.9281667,2.97
1998-01-29T00:46:33.720Z,32.221,-115.786,2.5
1998-01-29T00:37:08.400Z,38.9528333,-111.3428333,2.68
1998-01-28T23:03:31.810Z,39.4781667,-111.2086667,2.59
1998-01-28T22:05:12.470Z,36.095,-89.7686667,2.7
1998-01-28T20:56:37.400Z,34.01,-117.554,2.58
1998-01-28T16:44:21.400Z,34.425,-85.554,2.5
1998-01-28T16:07:43.380Z,38.9566667,-111.3525,2.6
1998-01-27T17:43:26.470Z,38.7983333,-122.7315,3.22
1998-01-27T08:16:02.250Z,36.6445,-121.2601667,2.53
1998-01-27T04:13:27.780Z,34.98,-116.947,2.59
1998-01-27T04:11:06.400Z,34.981,-116.947,3.02
1998-01-27T00:03:29.650Z,32.65,-116.226,3.51
1998-01-26T23:27:28.830Z,34.624,-116.672,3.16
1998-01-26T22:04:14.990Z,41.0915,-121.9191667,2.57
1998-01-26T19:27:10.220Z,34.98,-116.946,2.83
1998-01-26T18:59:35.690Z,40.6271667,-123.6248333,2.65
1998-01-26T08:30:58.420Z,37.0346667,-121.486,2.64
1998-01-26T06:00:53.650Z,37.0365,-121.488,3.02
1998-01-25T23:49:50.480Z,39.324,-122.7876667,2.86
1998-01-25T16:42:15.250Z,41.0891667,-121.9211667,3.49
1998-01-25T16:14:27.360Z,41.0935,-121.9208333,3.37
1998-01-25T08:21:05.910Z,37.6056667,-118.6818333,2.76
1998-01-25T01:43:17.700Z,38.8078333,-122.8135,2.5
1998-01-25T00:21:32.600Z,31.889,-115.766,3.64
1998-01-24T13:48:10.570Z,37.6313333,-118.8123333,3.64
1998-01-24T12:13:46.870Z,27.197,-112.035,3.6
1998-01-24T09:01:29.310Z,36.338,-117.957,2.72
1998-01-23T13:04:53.790Z,33.803,-117.81,2.94
1998-01-23T12:49:00.810Z,33.802,-117.81,2.9
1998-01-23T07:50:17.050Z,32.975,-116.449,3.15
1998-01-21T23:18:34.660Z,46.7815,-122.8363333,3.1
1998-01-21T16:16:37.120Z,38.1033333,-122.0985,2.55
1998-01-21T11:33:37.840Z,46.1488333,-120.4583333,2.7
1998-01-20T22:11:34.570Z,32.179,-115.61,3.22
1998-01-20T20:13:30.950Z,40.3553333,-124.774,2.75
1998-01-20T16:33:06.500Z,47.954,-115.051,4
1998-01-20T14:35:43.300Z,40.3465,-124.8513333,4.5
1998-01-20T09:21:24.250Z,37.6316667,-118.897,3.01
1998-01-20T04:59:22.210Z,37.6336667,-118.8163333,2.93
1998-01-20T03:07:00.460Z,40.7473333,-124.206,2.54
1998-01-19T18:31:42.300Z,31.837,-115.639,2.66
1998-01-19T14:26:11.150Z,37.6111667,-118.8266667,2.67
1998-01-19T12:45:02.200Z,32.759,-118.114,2.56
1998-01-18T21:37:44.630Z,36.165,-118.012,2.62
1998-01-18T14:49:33.660Z,38.7968333,-122.7973333,3.14
1998-01-18T07:08:11.750Z,32.203,-115.584,3.09
1998-01-18T00:59:13.550Z,36.8798333,-121.6085,2.67
1998-01-17T19:40:07.390Z,36.5686667,-89.6161667,2.7
1998-01-17T10:00:12.930Z,37.8115,-122.1923333,2.58
1998-01-17T09:13:34.030Z,37.6376667,-118.9081667,3.06
1998-01-17T04:54:38.360Z,37.6383333,-118.9283333,2.55
